Date,Away,AS,Home,HS,OT,Detail Path,Game Type,Detail Data,Rand
2009-12-06,PHX,88,LAL,108,N,phx-vs-lal-0020900295,regular,1,6
2006-09-08,No Games,-,No Games,-,-,-,-,2,5
1995-06-16,No Games,-,No Games,-,-,-,-,2,0
1999-12-27,MIN,107,ORL,105,N,min-vs-orl-0029900390,regular,1,8
2018-04-03,WAS,104,HOU,120,N,was-vs-hou-0021701161,regular,1,9
1996-04-11,CLE,101,NYK,97,N,cle-vs-nyk-0029501109,regular,1,2
2000-10-03,No Games,-,No Games,-,-,-,-,2,6
2021-03-04,LAC,117,WAS,119,N,lac-vs-was-0022000554,regular,1,0
2006-07-26,No Games,-,No Games,-,-,-,-,2,7
1997-10-06,No Games,-,No Games,-,-,-,-,2,3
2005-08-08,No Games,-,No Games,-,-,-,-,2,6
1996-02-21,NYK,113,DET,110,N,nyk-vs-det-0029500744,regular,1,4
2004-04-16,No Games,-,No Games,-,-,-,-,2,2
2008-03-03,PHI,106,LAC,80,N,phi-vs-lac-0020700888,regular,1,7
2004-12-09,SEA,107,DAL,102,N,sea-vs-dal-0020400274,regular,1,0
2002-08-16,No Games,-,No Games,-,-,-,-,2,6
2003-03-01,CHI,93,WAS,101,N,chi-vs-was-0020200845,regular,1,1
2006-12-02,CLE,63,HOU,81,N,cle-vs-hou-0020600239,regular,1,3
1995-12-30,SEA,123,PHX,112,N,sea-vs-phx-0029500403,regular,1,1
2004-12-31,SAS,98,LAC,79,N,sas-vs-lac-0020400425,regular,1,7
2012-01-11,OKC,95,NOH,85,N,okc-vs-noh-0021100148,regular,1,3
2023-01-20,MEM,121,LAL,122,N,mem-vs-lal-0022200690,regular,1,5
2018-09-05,No Games,-,No Games,-,-,-,-,2,3
2002-10-31,POR,72,SAC,100,N,por-vs-sac-0020200020,regular,1,3
1996-11-30,CHI,97,SAS,88,N,chi-vs-sas-0029600216,regular,1,8
2018-04-09,NOP,113,LAC,100,N,nop-vs-lac-0021701212,regular,1,8
2022-01-01,LAC,120,BKN,116,N,lac-vs-bkn-0022100542,regular,1,2
2019-12-20,SAC,105,IND,119,N,sac-vs-ind-0021900421,regular,1,5
2009-09-26,No Games,-,No Games,-,-,-,-,2,6
2001-03-11,LAC,93,DAL,111,N,lac-vs-dal-0020000909,regular,1,2
2011-01-09,GSW,91,LAC,105,N,gsw-vs-lac-0021000545,regular,1,2
2008-04-07,No Games,-,No Games,-,-,-,-,2,8
2001-10-19,PHX,-,LAL,-,N,phx-vs-lal-0010100064,preseason,2,9
2000-03-20,LAL,100,MIA,89,N,lal-vs-mia-0029900955,regular,1,4
2015-07-28,No Games,-,No Games,-,-,-,-,2,4
2008-02-08,CLE,100,ATL,95,N,cle-vs-atl-0020700730,regular,1,4
2018-02-04,MEM,86,TOR,101,N,mem-vs-tor-0021700787,regular,1,4
2021-01-20,ORL,97,MIN,96,N,orl-vs-min-0022000221,regular,1,0
2007-12-08,MEM,78,ATL,86,N,mem-vs-atl-0020700288,regular,1,1
2010-11-20,MIA,95,MEM,97,N,mia-vs-mem-0021000185,regular,1,7
2016-04-22,CLE,101,DET,91,N,cle-vs-det-0041500103,playoffs,1,2
1997-12-23,DAL,85,CLE,99,N,dal-vs-cle-0029700374,regular,1,7
2005-07-04,No Games,-,No Games,-,-,-,-,2,7
1999-03-26,CHI,81,ATL,93,N,chi-vs-atl-0029800390,regular,1,5
2008-01-19,NYK,88,MIA,84,N,nyk-vs-mia-0020700587,regular,1,0
2013-03-27,WAS,80,OKC,103,N,was-vs-okc-0021201065,regular,1,0
2018-05-06,HOU,100,UTA,87,N,hou-vs-uta-0041700224,playoffs,1,0
1996-03-25,SAN,95,NJN,88,N,san-vs-njn-0029500982,regular,1,2
1996-01-05,POR,96,MIL,113,N,por-vs-mil-0029500439,regular,1,6
2010-10-30,SAC,107,CLE,104,N,sac-vs-cle-0021000032,regular,1,7
2017-01-08,CLE,120,PHX,116,N,cle-vs-phx-0021600565,regular,1,8
2001-10-12,BOS,-,DAL,-,N,bos-vs-dal-0010100024,preseason,2,0
2017-03-01,WAS,105,TOR,96,N,was-vs-tor-0021600896,regular,1,4
2012-10-01,No Games,-,No Games,-,-,-,-,2,9
2005-12-31,SAS,98,DEN,88,N,sas-vs-den-0020500431,regular,1,7
2021-09-24,No Games,-,No Games,-,-,-,-,2,4
2009-01-26,POR,113,LAC,88,N,por-vs-lac-0020800661,regular,1,0
2020-02-01,MIN,106,LAC,118,N,min-vs-lac-0021900727,regular,1,3
2016-11-08,DAL,109,LAL,97,N,dal-vs-lal-0021600104,regular,1,0
2021-12-13,PHX,95,LAC,111,N,phx-vs-lac-0022100412,regular,1,7
2023-03-08,TOR,100,LAC,108,N,tor-vs-lac-0022200991,regular,1,0
1996-04-08,MIA,99,WAS,111,N,mia-vs-was-0029501090,regular,1,8
2017-03-02,GSW,87,CHI,94,N,gsw-vs-chi-0021600906,regular,1,6
2000-12-03,POR,79,PHX,84,N,por-vs-phx-0020000245,regular,1,9
2016-12-20,BKN,104,TOR,116,N,bkn-vs-tor-0021600420,regular,1,3
1997-04-01,HOU,116,DEN,99,N,hou-vs-den-0029601044,regular,1,2
2013-01-05,BOS,89,ATL,81,N,bos-vs-atl-0021200489,regular,1,4
2015-01-16,LAL,85,UTA,94,N,lal-vs-uta-0021400597,regular,1,8
2017-11-25,TOR,112,ATL,78,N,tor-vs-atl-0021700280,regular,1,2
2017-01-05,SAS,127,DEN,99,N,sas-vs-den-0021600543,regular,1,7
2007-01-07,WAS,111,TOR,116,N,was-vs-tor-0020600498,regular,1,8
2005-12-15,SAS,90,MIN,88,N,sas-vs-min-0020500320,regular,1,0
1995-04-11,ATL,110,PHL,106,N,atl-vs-phl-0029401016,regular,1,7
2014-01-27,ATL,109,OKC,111,N,atl-vs-okc-0021300666,regular,1,7
1996-11-24,HOU,90,LAL,85,N,hou-vs-lal-0029600173,regular,1,4
2001-12-14,SAS,105,PHX,93,N,sas-vs-phx-0020100319,regular,1,1
1997-10-01,No Games,-,No Games,-,-,-,-,2,8
2020-02-08,DEN,117,PHX,108,N,den-vs-phx-0021900784,regular,1,3
2019-12-31,CLE,97,TOR,117,N,cle-vs-tor-0021900500,regular,1,9
2022-10-23,UTA,122,NOP,1121,Y,uta-vs-nop-0022200040,regular,1,0
2006-03-13,DEN,108,NYK,96,N,den-vs-nyk-0020500937,regular,1,7
2014-02-08,MIA,89,UTA,94,N,mia-vs-uta-0021300755,regular,1,8
2016-04-10,UTA,100,DEN,84,N,uta-vs-den-0021501198,regular,1,7
2002-05-09,NJN,97,CHH,115,N,njn-vs-chh-0040100203,playoffs,1,2
2013-07-19,No Games,-,No Games,-,-,-,-,2,8
2010-02-06,LAL,99,POR,82,N,lal-vs-por-0020900750,regular,1,9
2017-01-17,HOU,103,MIA,109,N,hou-vs-mia-0021600623,regular,1,4
2015-11-15,DET,85,LAL,97,N,det-vs-lal-0021500151,regular,1,3
2020-02-15,No Games,-,No Games,-,-,-,-,2,6
2012-11-12,UTA,140,TOR,3133,Y,uta-vs-tor-0021200095,regular,1,9
2015-04-25,MEM,115,POR,109,N,mem-vs-por-0041400173,playoffs,1,0
2019-10-24,ATL,117,DET,100,N,atl-vs-det-0021900014,regular,1,4
1998-09-25,No Games,-,No Games,-,-,-,-,2,0
2005-02-23,MIA,91,IND,93,Y,mia-vs-ind-0020400792,regular,1,1
2003-10-21,MEM,97,MIA,82,N,mem-vs-mia-0010300092,preseason,2,6
2020-01-13,ORL,114,SAC,112,N,orl-vs-sac-0021900596,regular,1,4
2015-12-31,PHX,106,OKC,110,N,phx-vs-okc-0021500488,regular,1,3
2002-03-15,DEN,102,ORL,124,N,den-vs-orl-0020100928,regular,1,0
2021-12-17,MIL,112,NOP,116,Y,mil-vs-nop-0022100438,regular,1,6
2005-10-26,CLE,100,BOS,101,N,cle-vs-bos-0010500103,preseason,1,0
2010-01-22,LAL,115,NYK,105,N,lal-vs-nyk-0020900632,regular,1,0
2003-11-19,CLE,95,WAS,106,N,cle-vs-was-0020300153,regular,1,8
2002-10-18,LAC,-,CHI,-,N,lac-vs-chi-0010200061,preseason,2,5
2007-04-16,BOS,91,MIA,89,N,bos-vs-mia-0020601204,regular,1,1
2018-10-06,IND,104,MEM,109,N,ind-vs-mem-0011800041,preseason,2,3
2015-12-06,GSW,114,BKN,98,N,gsw-vs-bkn-0021500300,regular,1,2
2006-10-10,DAL,81,NOK,84,N,dal-vs-nok-0010600010,preseason,1,2
1996-09-30,No Games,-,No Games,-,-,-,-,2,0
2002-11-25,MIL,81,PHX,86,N,mil-vs-phx-0020200196,regular,1,2
2008-04-22,TOR,103,ORL,104,N,tor-vs-orl-0040700122,playoffs,1,2
