Date,Detail Path,Action Number,Clock,Period,Team ID,Team Tricode,Person Id,Player Name,Player Init,xLegacy,yLegacy,Shot Distance,Shot Result,Field Goal,Score Home,Score Away,Points Total,Location,Description,Action Type,Sub-Type,Video Available,Action Id
2022-11-12,atl-vs-phi-0022200188,474.0,PT02M54.00S,3.0,1610612737.0,ATL,1626163.0,Kaminsky,F. Kaminsky,0.0,0.0,0.0,,0.0,,,0.0,v,Kaminsky S.FOUL (P2.T3) (T.Ford),Foul,Shooting,1.0,345.0
2022-12-28,min-vs-nop-0022200520,453.0,PT05M36.00S,3.0,0.0,,450.0,,,0.0,0.0,0.0,,0.0,69.0,76.0,145.0,,Instant Replay3rd Period (9:43 PM EST),Instant Replay,Overturn Ruling,0.0,332.0
2023-03-04,phi-vs-mil-0022200960,400.0,PT03M42.00S,3.0,0.0,,1610612755.0,,,0.0,0.0,0.0,,0.0,,,0.0,v,76ers Rebound,Rebound,Unknown,1.0,287.0
2022-12-27,den-vs-sac-0022200514,67.0,PT06M51.00S,1.0,1610612758.0,SAC,1628989.0,Huerter,K. Huerter,99.0,230.0,25.0,Missed,1.0,,,0.0,h,MISS Huerter 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1.0,55.0
2022-10-06,mia-vs-bkn-0012200024,448.0,PT05M23.00S,3.0,1610612748.0,MIA,200768.0,Lowry,K. Lowry,0.0,0.0,0.0,,0.0,,,0.0,v,Lowry STEAL (2 STL),,,1.0,320.0
2022-12-12,bos-vs-lac-0022200408,364.0,PT10M05.00S,3.0,1610612746.0,LAC,202695.0,Leonard,K. Leonard,11.0,23.0,3.0,Made,1.0,63.0,48.0,111.0,h,Leonard 3' Driving Hook Shot (15 PTS),Made Shot,Driving Hook Shot,1.0,264.0
2022-11-06,chi-vs-tor-0022200141,282.0,PT04M54.00S,2.0,1610612761.0,TOR,1627832.0,VanVleet,F. VanVleet,0.0,0.0,0.0,,0.0,,,0.0,h,VanVleet P.FOUL (P1.T4) (E.Malloy),Foul,Personal,1.0,202.0
2022-12-08,den-vs-por-0022200376,636.0,PT00M28.30S,4.0,1610612757.0,POR,1629014.0,Simons,A. Simons,0.0,0.0,0.0,,0.0,,,0.0,h,SUB: Winslow FOR Simons,Substitution,,0.0,472.0
2023-02-24,sac-vs-lac-0022200902,648.0,PT00M15.20S,4.0,1610612746.0,LAC,201566.0,Westbrook,R. Westbrook,25.0,20.0,3.0,Made,1.0,151.0,148.0,299.0,h,Westbrook 3' Driving Finger Roll Layup (12 PTS),Made Shot,Driving Finger Roll Layup Shot,1.0,469.0
2022-10-03,sac-vs-lal-0012200012,130.0,PT03M01.00S,1.0,1610612747.0,LAL,201976.0,Beverley,P. Beverley,0.0,0.0,0.0,,0.0,17.0,12.0,29.0,h,Beverley Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1.0,91.0
2022-12-05,phx-vs-dal-0022200358,616.0,PT01M14.00S,4.0,1610612742.0,DAL,1626174.0,Wood,C. Wood,0.0,0.0,0.0,,0.0,,,0.0,h,Wood REBOUND (Off:3 Def:6),Rebound,Unknown,1.0,458.0
2022-10-21,orl-vs-atl-0022200020,387.0,PT07M43.00S,3.0,1610612753.0,ORL,1630591.0,Suggs,J. Suggs,0.0,0.0,0.0,,0.0,,,0.0,v,MISS Suggs Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,1.0,289.0
2022-11-02,bos-vs-cle-0022200107,415.0,PT06M25.00S,3.0,0.0,,1610612738.0,,,0.0,0.0,0.0,,0.0,,,0.0,v,Celtics Timeout: Regular (Reg.1 Short 0),Timeout,Regular,0.0,305.0
2022-10-04,uta-vs-por-0012200017,13.0,PT11M07.00S,1.0,1610612757.0,POR,203924.0,Grant,J. Grant,10.0,27.0,3.0,Missed,1.0,,,0.0,h,MISS Grant 3' Driving Hook Shot,Missed Shot,Driving Hook Shot,1.0,8.0
2022-12-23,mil-vs-bkn-0022200483,600.0,PT04M07.00S,4.0,1610612751.0,BKN,1627732.0,Simmons,B. Simmons,0.0,0.0,0.0,,0.0,,,0.0,h,Simmons REBOUND (Off:5 Def:5),Rebound,Unknown,1.0,434.0
2022-10-03,okc-vs-den-0012200011,74.0,PT06M43.00S,1.0,1610612760.0,OKC,1630197.0,Pokusevski,A. Pokusevski,0.0,0.0,0.0,,0.0,,,0.0,v,Pokusevski REBOUND (Off:0 Def:3),Rebound,Unknown,1.0,52.0
2022-11-14,sas-vs-gsw-0022200205,407.0,PT07M13.00S,3.0,1610612744.0,GSW,1629673.0,Poole,J. Poole,9.0,6.0,1.0,Missed,1.0,,,0.0,h,MISS Poole 1' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,1.0,291.0
